tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres	averageRating	numVotes
tt0061610	movie	"Easy Come, Easy Go"	"Easy Come, Easy Go"	0	1967	\N	95	"Adventure,Comedy,Music"	5.3	1405
tt0061613	movie	Oedipus Rex	Edipo Re	0	1967	\N	104	Drama	7.4	5242
tt0061619	movie	El Dorado	El Dorado	0	1966	\N	126	"Drama,Romance,Western"	7.6	24523
tt0061620	movie	Elvira Madigan	Elvira Madigan	0	1967	\N	91	"Biography,Drama,Romance"	7.3	2606
tt0061633	movie	Strange Voyage	El extraño viaje	0	1964	\N	92	"Comedy,Crime"	7.8	1108
tt0061634	movie	Eye of the Devil	Eye of the Devil	0	1966	\N	92	"Crime,Horror,Mystery"	6.1	2301
tt0061636	movie	Face to Face	Faccia a faccia	0	1967	\N	111	Western	7.2	2658
tt0061643	movie	Fando and Lis	Fando y Lis	0	1968	\N	93	"Adventure,Fantasy"	6.9	5354
tt0061647	movie	Triple Cross	Triple Cross	0	1966	\N	140	"Action,Adventure,Drama"	6.3	2306
tt0061648	movie	Far from the Madding Crowd	Far from the Madding Crowd	0	1967	\N	168	"Drama,History,Romance"	7.2	5215
tt0061653	movie	Fathom	Fathom	0	1967	\N	99	"Adventure,Comedy"	5.8	1397
tt0061655	movie	The Fearless Vampire Killers	Dance of the Vampires	0	1967	\N	108	"Comedy,Horror"	7.2	29724
tt0061669	movie	Fitzwilly	Fitzwilly	0	1967	\N	102	"Comedy,Romance"	6.7	1336
tt0061671	movie	Five the Hard Way	Five the Hard Way	0	1969	\N	82	"Action,Sport"	1.7	1725
tt0061678	movie	The Flim-Flam Man	The Flim-Flam Man	0	1967	\N	104	"Action,Comedy,Crime"	6.9	2024
tt0061680	movie	Follow That Camel	Follow That Camel	0	1967	\N	95	"Adventure,Comedy,Romance"	6.1	2181
tt0061683	movie	Frankenstein Created Woman	Frankenstein Created Woman	0	1967	\N	86	"Horror,Sci-Fi"	6.6	4391
tt0061695	movie	Gamera vs. Gyaos	Daikaijû kûchûsen: Gamera tai Gyaosu	0	1967	\N	86	"Action,Adventure,Family"	5	1804
tt0061696	movie	Games	Games	0	1967	\N	100	Thriller	6.5	1244
tt0061709	movie	Day of Anger	I giorni dell'ira	0	1967	\N	111	"Action,Western"	7.1	4178
